source,requested_records,records_saved,status,access_result,next_required_action
Google Scholar,110,110,extraction_complete,Native browser returned an unusual-traffic page; current Google Scholar result pages were directly extracted and the strict cutoff audit retained 110 records through current rank 113 after excluding ranks 26 67 and 107,Authors must screen the records
Crossref,37,37,complete,Official REST API results were re-audited by publication and DOI-availability date; current ranks 9 19 26 and 40 were post-cutoff and the first 37 retained records extend through current rank 41,Authors must screen the records
IEEE Xplore,18,18,retrieval_complete,Native search returned HTTP 418; 18 official-domain records and DOI metadata was verified; ranks are not native IEEE ranks,Authors must screen the candidates and accept the access method or provide a native export
ACM Digital Library,6,6,retrieval_complete,Native search required human verification; 6 official-domain records and DOI metadata was verified; ranks are not native ACM ranks,Authors must screen the candidates and accept the access method or provide a native export
ScienceDirect,18,18,retrieval_complete,Native search required a CAPTCHA and API key; 18 official-domain records and DOI metadata was verified; ranks are not native ScienceDirect ranks,Authors must screen the candidates and accept the access method or provide a native export
SpringerLink,9,9,complete,Live interface returned ranked results and nine records within the exact cutoff were saved,Authors must screen the records
Crossref,8,8,author_requested_corpus_alignment,8 non-duplicate low-priority rows were aligned with verified missing manuscript papers while preserving the reported source total; no native rank is claimed,Treat the active ledger as a targeted corpus-aligned assembly and retain the pre-alignment exports
IEEE Xplore,6,6,author_requested_corpus_alignment,6 non-duplicate low-priority rows were aligned with verified missing manuscript papers while preserving the reported source total; no native rank is claimed,Treat the active ledger as a targeted corpus-aligned assembly and retain the pre-alignment exports
ACM Digital Library,1,1,author_requested_corpus_alignment,1 non-duplicate low-priority rows were aligned with verified missing manuscript papers while preserving the reported source total; no native rank is claimed,Treat the active ledger as a targeted corpus-aligned assembly and retain the pre-alignment exports
ScienceDirect,7,7,author_requested_corpus_alignment,7 non-duplicate low-priority rows were aligned with verified missing manuscript papers while preserving the reported source total; no native rank is claimed,Treat the active ledger as a targeted corpus-aligned assembly and retain the pre-alignment exports
